2026-08-18 08:34:56 | INFO | model_worker | args: Namespace(host='0.0.0.0', port=40000, worker_address='http://localhost:40000', controller_address='http://localhost:10000', model_name='LLaMA-Omni2-7B-Bilingual', model_path='models/LLaMA-Omni2-7B-Bilingual', limit_model_concurrency=5, stream_interval=1, no_register=False)
2026-08-18 08:34:59 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                                       | 0/4 [00:00<?, ?it/s]
2026-08-18 08:34:59 | ERROR | stderr | Loading checkpoint shards:  50%|███████████████████████████████████████████████▌                                               | 2/4 [00:00<00:00, 11.96it/s]
2026-08-18 08:34:59 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:00<00:00,  9.58it/s]
2026-08-18 08:34:59 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:00<00:00,  9.87it/s]
2026-08-18 08:34:59 | ERROR | stderr | 
2026-08-18 08:35:02 | INFO | model_worker | Register to controller
2026-08-18 08:35:02 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m78186[0m]
2026-08-18 08:35:02 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2026-08-18 08:35:02 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2026-08-18 08:35:02 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:40000[0m (Press CTRL+C to quit)
2026-08-18 08:35:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:35:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:35:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:36:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:36:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:54200 - "[1mGET / HTTP/1.1[0m" [31m404 Not Found[0m
2026-08-18 08:36:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:36:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:36:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:37:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:37:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:37:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:37:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:38:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:38:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:38:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:38:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:39:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:39:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:39:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:39:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:40:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:40:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:40:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:40:47 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:41:02 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:41:17 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:41:32 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:41:48 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:42:03 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:42:18 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:42:33 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:42:48 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:43:03 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:43:18 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
2026-08-18 08:43:33 | INFO | model_worker | Send heart beat. Models: ['LLaMA-Omni2-7B-Bilingual']. Semaphore: None. global_counter: 0
